How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
More than 1000,1.0,I don't know,I don't know,I don't know,I don't know,Don't Know,No,No,6,Yes,Because they may need to know in order for me to be an effective employee,Not sure,47.0,Male
500-1000,1.0,Yes,I don't know,None did,No,Yes,Yes,No,5,Maybe,Trust,Trust,64.0,male
100-500,0.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,7,Maybe,I fear discrimination against me for perceived inability.,I fear rejection from the job due to the stigma associated with mental illness.,28.0,Male
More than 1000,1.0,No,I don't know,Some did,I don't know,Possibly,Possibly,I don't know,0,Maybe,Some physical health issues may impact my ability to perform certain job functions.,"Discrimination; interviewers would not know how to process the information, even if it were presented freely.",45.0,Male
100-500,1.0,Yes,Yes,None did,I don't know,No,No,No,5,Yes,Fear of discrimination,Stigma,37.0,M
26-100,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,9,No,I don't have any physical illnesses that would impact upon my work. ,My mental health does not generally affect my work when I am medicated and I do not think discussion of health is appropriate in an interview setting. ,30.0,Female
100-500,0.0,No,I don't know,Some did,I don't know,No,No,No,7,Maybe,It depends on whether it would be relevant to the conversation and/or position.,"I would ask about its environment for encouraging positive mental health, but if I had a mental health issue I would probably avoid discussing for fear of it affecting my candidacy.",25.0,Male
26-100,1.0,No,Yes,None did,I don't know,Yes,Yes,Yes,1,Maybe,Fear of discrimination,Stigma,25.0,Female
More than 1000,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,8,No,It is not any of their business in an interview.,Not their business,54.0,Female
500-1000,1.0,Yes,I don't know,None did,I don't know,Yes,No,I don't know,7,No,Would be viewed as detrimental to chance of employment,Would be viewed as detrimental to chance of employment,61.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,7,No,To avoid them making any perception on me which might affect my workflow and progress,in fear to loose the interview,26.0,male
More than 1000,0.0,Yes,I don't know,I don't know,I don't know,Yes,Yes,Yes,4,Maybe,Depends on how desperate I am for the job.  I might hold back if I think I can work around my problem.,That would definitely be a red flag for hiring.,44.0,Female
6-25,1.0,No,I don't know,None did,I don't know,Yes,Possibly,I don't know,2,Yes,Fear of discrimination,Stigma,26.0,male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,Yes,Because it may interfer with work,Because it may interfer with work,26.0,Female
6-25,1.0,No,Yes,Some did,"Yes, always",No,Possibly,I don't know,3,No,physical health isn't mandatory for me to do my job as a designer. i'd answer if they asked but wouldn't bring it up on my own.,I consider it personal information. ,35.0,female
26-100,1.0,No,I don't know,None did,I don't know,No,No,No,6,No,Concern that it would admit undue bias.,Even more fear of undue bias.,45.0,Male
26-100,1.0,No,I don't know,None did,I don't know,No,Possibly,I don't know,4,Maybe,"If it was relevant to the job, I would bring it up","Statistically, they are less likely to hire me regardless of job type",23.0,Male
More than 1000,0.0,I don't know,I don't know,I don't know,I don't know,Don't Know,Don't Know,No,5,Yes,"I would bring it up if I felt it were relevant to the position or would have some impact on my work arrangement (e.g., I have bad knees and would prefer a sit/stand desk option).",I feel like there is a stigma around mental health issues and would probably not bring up my own unless I felt it would significantly impact my ability to perform the job.,44.0,Male
More than 1000,0.0,Yes,Yes,None did,"Yes, always",Possibly,Yes,I don't know,5,No,Fear of discrimination,Stigma,38.0,male
500-1000,0.0,Yes,Yes,None did,I don't know,No,Yes,Yes,8,No,I would fear being excluded because of it. Legal or not. ,Same reason...fear of being knocked out of the running. ,46.0,Male
500-1000,0.0,Yes,I don't know,None did,I don't know,Yes,Yes,I don't know,5,Maybe,Only if it would require a special accomodation,I'm afraid of discrimination,27.0,Nonbinary
100-500,0.0,I don't know,Yes,None did,I don't know,Yes,Yes,Yes,7,No,Privacy issues,Privacy issues,39.0,female
26-100,1.0,No,I don't know,Some did,"Yes, always",Possibly,Yes,Yes,2,Maybe,If it affected my attendance or my needs at work I would need to let them know,It’s stigmatized and says something about you as a person ,33.0,Female 
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,Yes,8,No,Fear of discrimination,fear of discrimination,38.0,female
26-100,0.0,No,I don't know,None did,I don't know,No,No,No,2,No,"Wouldn’t want it used as a reason not to be offered the job, irrespective of whether it’s “legal” or not, health issues are barriers for employers.","Again, I wouldn’t want it used as a reason not to offer me the job. Whilst it may not be publicly stated, what sort of employer want want employees with mental health issues on payroll?",35.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Possibly,No,3,No,My experience is they don't care.,Generally people don't know so much about the topic and scared about what they don't know. And also is not comfortable or encouraging to open up in this environment.,32.0,male
More than 1000,1.0,I don't know,I don't know,Some did,I don't know,Yes,Possibly,I don't know,5,No,A bit too personal for an interview. I'm afraid it might screw up my chances.,I don't want it to affect their decision to whether to hire me or not.,26.0,Female
100-500,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,8,Yes,"Theoretically, ADA and other laws would prevent discrimination.",Most potential employers do not understand that they are discriminating when put off by mental health issues.,50.0,cis-male
100-500,1.0,I don't know,I don't know,Some did,I don't know,Yes,Yes,Yes,10,Maybe,"I don't have physical health issues, so I'm not sure whether I'd volunteer that. I probably wouldn't though; it seems disadvantageous to state something that would either make my interviewer uncomfortable or worse, biased against/toward me.",My mental health concern is severe enough (but harmless as it has been treated for 10+ years) that  it would likely scare them.,31.0,Male
More than 1000,1.0,Yes,I don't know,None did,I don't know,Don't Know,No,Yes,4,Maybe,"I might end up discussing a physical health issue in an interview because they could become harder to hide or, more likely, not manageable if not openly acknowledged.","It's between 'Maybe' and 'No'. Compared to physical health issues, I would be much more worried about bringing up a mental health issue. I'm afraid that I might have to.",46.0,Male
26-100,1.0,No,Yes,None did,No,Yes,Yes,Yes,7,Maybe,It would depend on whether or not it had an impact on my ability to do the job,I would conceal it for fear of stigma impacting my ability to get a job there,30.0,Male
More than 1000,1.0,No,I don't know,Some did,"Yes, always",Yes,Yes,I don't know,7,Maybe,I would be worried it would effect my ability to be hired.,I would be worried that it would negatively effect my chances of being hired.,30.0,Mail
100-500,1.0,No,I don't know,None did,Sometimes,Yes,Yes,No,7,Maybe,Fear of discrimination,Stigma,34.0,male
More than 1000,0.0,Yes,Yes,None did,I don't know,No,No,No,1,Maybe,Wouldn't want it to affect my chances of getting the job,Believe it would affect my chances of getting the job and cause the employer to have less trust in my reliability ,42.0,Male
More than 1000,1.0,Yes,No,None did,I don't know,Yes,Yes,Yes,8,Maybe,Depends if it's relevant to the job.,It's irrelevant to the scope of my job. Also disability laws don't protect you until you're hired.,24.0,Female
More than 1000,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,Yes,8,Yes,Fear of discrimination,"There is a pervasive view in the technology community that it is always possible to find a competent engineer with the productivity ""positives"" without mental illness ""negatives""; if you highlight that you suffer from mental illness, it will throw you to the bottom of the candidate pile, but nobody will ever tell you that upfront.",30.0,Male
26-100,1.0,Yes,I don't know,None did,I don't know,Don't Know,Don't Know,I don't know,1,Maybe,Fear of discrimination,Stigma,23.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,4,No,Fear of discrimination,Stigma,31.0,female
26-100,1.0,No,I don't know,None did,I don't know,Possibly,No,I don't know,3,Yes,\-,\-,31.0,male
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,6,Maybe,I wouldn't bring it up unless I required reasonable accommodation to do my job.,I wouldn't bring up a mental health issue unless I required reasonable accommodation to do my job.,27.0,Woman
More than 1000,1.0,No,I don't know,None did,No,No,Possibly,No,0,Yes,Fear of discrimination,Stigma,26.0,Male
500-1000,0.0,No,I don't know,None did,No,No,No,Yes,8,No,"My main physical issue is Traumatic Brain Injury (TBI), which has as much or more stigma associated with it than mental health problems.  Particularly when going to work with very smart people.  It affects communications, word recall, and headaches.",It is an excellent way to not be considered for the position.,52.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Don't Know,No,No,3,Yes,I had,It's important,28.0,Male
1-5,1.0,No,I don't know,None did,No,Possibly,Don't Know,I don't know,0,Maybe,It might disqualify me from the position. Even if I was told because it was for another reason. ,Fear of not being considered qualified for the position. ,37.0,male
500-1000,0.0,Yes,No,None did,I don't know,No,Possibly,No,5,Maybe,Fear of discrimination,Stigma,37.0,male
More than 1000,0.0,No,Yes,None did,I don't know,Yes,Yes,Yes,10,No,Its not what I'm thinking about in an interview.,The stigma is great in America about mental illnesses.  Most people will label you as crazy and a potential problem and you wouldn't get the job.,38.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,Maybe,Fear of discrimination,Fear of discrimination. ,57.0,Female
More than 1000,1.0,I don't know,I don't know,None did,I don't know,Yes,No,Yes,8,No,"My line of work isn't physically demanding. For the physical problems that may get it the way, I think I know of many accommodations for disability, permanent or temporary. I have mostly worked from home, so I have control over my physical environment.",It's treated and unlikely to affect work.,34.0,Male
More than 1000,1.0,No,I don't know,None did,No,No,Possibly,Yes,3,No,I think it could be counterproductive,I can be counterproductive,38.0,female
26-100,1.0,No,Yes,None did,I don't know,Possibly,No,I don't know,8,Maybe,It would depend on how obvious it was or how likely it would be to view as a detriment to my potential work,I would never be hired,30.0,Male
More than 1000,0.0,Yes,Yes,Some did,Sometimes,Possibly,Don't Know,No,10,No,Lower marketability,Lower Marketability,52.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,No,3,Maybe,Fear of discrimination,Stigma,31.0,Female
More than 1000,1.0,No,I don't know,Some did,"Yes, always",No,Possibly,I don't know,9,Yes,Fear of discrimination,Stigma,29.0,Male
6-25,1.0,No,I don't know,None did,I don't know,Don't Know,No,Yes,0,No,Will not get job,Will not get job,26.0,Female
26-100,0.0,No,Yes,None did,"Yes, always",Yes,Yes,I don't know,4,No,I have a brain disorder and a connective tissue disorder both life long disorders that will physically cause issues it is not worth it,I already have physical issues it is not worth it to compound mental issues,29.0,female
More than 1000,1.0,No,Yes,None did,"Yes, always",Yes,Yes,Yes,8,Yes,Fear of discrimination,"Any discussion of my mental health issues has implicit bearing on my productivity, and is likely to give a potential employer pause.",44.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,Possibly,Don't Know,I don't know,5,Yes,acommodations should be made for physical health issues,"Depends on how I feel about the employer — ideally yes, but I know I might not always be comfortable bringing it up",18.0,male/androgynous 
More than 1000,1.0,Yes,Yes,None did,"Yes, always",Yes,Yes,Yes,10,No,Discrimination.,Discrimination.,42.0,Male
6-25,0.0,No,Yes,None did,No,Possibly,Possibly,Yes,5,No,Must appear to be the ideal canidate,Must appeal to be the ideal candidate,30.0,Male
100-500,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,I don't know,10,No,I do not think an interview is the proper place for that discussion unless that physical problem will effect your daily work.,If it effected your daily work or ability to do your job. ,29.0,M
More than 1000,1.0,Yes,I don't know,None did,I don't know,Yes,Possibly,Yes,8,No,I would wait until after an offer had been extended to discuss what impact my issue might have on employment.,Same as before. I would wait until after an offer was made. Interviewers are not necessarily the ones who need to know.,27.0,Female
More than 1000,1.0,Yes,Yes,None did,Sometimes,Yes,Yes,Yes,4,Maybe,I wouldn't bring up a physical health issue unless it might directly impact my work. Then I would definitely mention it.,"I feel that sharing my mental health issue causes additional issues in working relationships. For example, when I have legitimate concerns about how I'm being treated, I think it becomes easier for my manager / co-workers to blame my concerns on my mental illness. ",39.0,Male
100-500,1.0,Yes,Yes,Some did,I don't know,No,No,Yes,6,Maybe,If it was something that would affect my performance yes. Or if they asked me directly yes.,If my mental health affected my ability to do my job yes I would. It has not. I would ask about options for support though.,40.0,female
More than 1000,1.0,Yes,Yes,Some did,I don't know,Possibly,Yes,Yes,8,Maybe,Only if accommodations needed,Only if accommodations needed,36.0,female
More than 1000,1.0,No,I don't know,None did,I don't know,Don't Know,No,No,3,Maybe,"
",wouldn't get the job,48.0,female
More than 1000,1.0,Yes,Yes,None did,I don't know,Don't Know,Don't Know,No,7,Maybe,Fear of discrimination,Stigma,43.0,male
100-500,1.0,I don't know,Yes,Some did,I don't know,Yes,Yes,Yes,3,Maybe,Depends on the nature of the health issue and possibly opening myself to discriminatory practices,Fear of discrimination based on MH stigmas,38.0,Man
26-100,1.0,No,I don't know,Some did,"Yes, always",No,Yes,I don't know,6,Maybe,Really just depends on the issue vs. context.,"Again, depends on the issue vs. context.",42.0,Male
500-1000,1.0,Yes,Yes,Some did,Sometimes,Yes,Possibly,I don't know,7,Yes,If it had the possibility of impacting my work,Because I do not want to work anywhere that does not take mental health into account.,46.0,Male
More than 1000,0.0,No,Yes,"Yes, they all did","Yes, always",Yes,Yes,Yes,3,No,Fear of discrimination,Stigma,30.0,male
6-25,0.0,No,No,None did,I don't know,Yes,Yes,Yes,10,Maybe,"If it affected my performance, I would bring it up.","If it affected my performance, I would bring it up.",25.0,Male
500-1000,1.0,Yes,Yes,None did,I don't know,Don't Know,No,Yes,7,Maybe,"If I thought it might impact access/ability to work, then I would. If it wouldn't impact my ability to do the job, it would be irrelevant.",Too much stigma to reveal without knowing the person better.,28.0,Male
100-500,1.0,No,I don't know,None did,No,Possibly,Possibly,Yes,8,Maybe,"I've never been in the position, so I can't properly say yes or no. But I think it would depend on how far along I am in the interview and what kind of physical health issue it is (ie broken leg that will heal vs disability that would alter the way they plan events etc)","I say yes, but the extent depends on the employer. Also there's a difference between this question and the last. The last says ""mental health"" which I'm happy to bring up as I can use the speaking about self-care as a bridge (plus I want to make sure that I won't be expected to work 10+ hours per day). As for a specific mental health issue, as this question is asking, the answer would likely be no -- unless the potential employer has read some of my writing about it.",24.0,Female
1-5,1.0,No,I don't know,None did,I don't know,No,No,Yes,6,Maybe,Fear of discrimination,Stigma,26.0,male
More than 1000,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,8,Maybe,"depends on the interview, typically no",stigma,43.0,cis hetero male
More than 1000,0.0,No,I don't know,I don't know,I don't know,Yes,Yes,I don't know,5,No,They can always choose someone who is healthier than I am (currently) with the same skillset.,"I keep my mental health status to myself, don't want to jeopardize the interview so early on...",25.0,Female
More than 1000,0.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,3,Yes,Physical health issues are generally apparent and given reasonable consideration.,"Mental health issues are not visibly apparent or as definitively diagnosable, and thus more easily taken lightly.",34.0,male
26-100,1.0,Yes,Yes,None did,I don't know,No,No,No,6,Maybe,"If the physical health issue could impede the work, it may be better to make it known in the interview process.",There is more stigma attached to mental health issues than physical issues.,28.0,female
26-100,1.0,No,Yes,None did,I don't know,Yes,Possibly,I don't know,8,Yes,Fear of discrimination,Stigma,27.0,Male
26-100,1.0,Yes,Yes,None did,I don't know,Don't Know,Don't Know,No,7,Maybe,If he socializes in a nice way I would share other wise not,NO,22.0,Male
26-100,1.0,No,Yes,None did,I don't know,No,No,Yes,0,No,to not influence a possible work offer,same as above,24.0,female
More than 1000,1.0,No,I don't know,None did,No,Yes,Yes,No,10,Maybe,no,no,33.0,female
More than 1000,1.0,No,I don't know,None did,No,Possibly,Yes,No,3,Maybe,honesty,being honest,41.0,m
26-100,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,I don't know,1,Yes,Fear of discrimination,Would be scared that employing me would be seen as a liability,26.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,9,Yes,Less stigma,More stigma,39.0,Male
1-5,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,No,5,Yes,Fear of discrimination,Stigma,24.0,male
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,7,Yes,Not knowing could be a bad thing.,Knowing is half the battle,54.0,Male
More than 1000,0.0,Yes,I don't know,"Yes, they all did",I don't know,Yes,Yes,Yes,7,Maybe,depends on the setting and how comfortable I was feeling,depends on how the interview is going,47.0,m
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,7,Yes,Fear of discrimination,Stigma,33.0,Male
100-500,1.0,No,Yes,None did,I don't know,Yes,No,Yes,10,No,Too much of a chance of discrimination,To much of a chance of discrimination,30.0,Male
More than 1000,0.0,No,I don't know,Some did,"Yes, always",Possibly,Possibly,I don't know,8,Yes,I would bring it up if I felt like necessary accommodations were reasonable and my performance would not suffer. ,I would probably not bring it up because of the general stigma around mental health. I would be afraid that the interviewer would jump to the conclusion that I would be difficult to manage and less reliable. ,48.0,Male
More than 1000,1.0,I don't know,Yes,None did,I don't know,Possibly,Possibly,Yes,4,Maybe,"I am always honest, but like to keep my cards close to my chest. I would share on a need-to-know basis, only if I felt I needed accommodation and there was something they could do about it.",Same reason as for physical — I would share if I felt I had to (which I do) but it would not be in the initial interview. It would be when the process had progressed and I felt that I wanted and would be able to work for them.,35.0,male
26-100,0.0,No,I don't know,None did,I don't know,No,No,I don't know,10,Yes,"It can help me to gauge the situation, and see where they really stand on these issues",I fear it could lose me the potential job offer.,34.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,10,Yes,Fear of discrimination,Stigma,31.0,Male
